State,Pos,Neg,Neu
Alabama,263.0,134.0,435.0
Alaska,128.0,57.0,431.0
Arizona,419.0,215.0,497.0
Arkansas,70.0,31.0,86.0
California,2518.0,1256.0,3204.0
Colorado,256.0,94.0,316.0
Connecticut,192.0,98.0,214.0
Delaware,298.0,147.0,459.0
Florida,1494.0,721.0,2044.0
Georgia,614.0,291.0,870.0
Hawaii,105.0,52.0,143.0
Idaho,31.0,24.0,57.0
Illinois,165.0,83.0,200.0
Indiana,965.0,475.0,1181.0
Iowa,167.0,61.0,213.0
Kansas,227.0,106.0,278.0
Kentucky,349.0,177.0,403.0
Louisiana,375.0,183.0,575.0
Maine,4687.0,2002.0,6394.0
Massachusetts,348.0,179.0,429.0
Minnesota,236.0,106.0,284.0
Mississippi,168.0,84.0,245.0
Missouri,358.0,127.0,380.0
Montana,166.0,83.0,179.0
Nebraska,126.0,56.0,152.0
Nevada,202.0,106.0,311.0
New Hampshire,43.0,13.0,45.0
New Jersey,593.0,276.0,766.0
New Mexico,99.0,52.0,106.0
New York,1473.0,637.0,1802.0
North Dakota,22.0,7.0,23.0
Ohio,1054.0,501.0,1216.0
Oklahoma,248.0,106.0,264.0
Oregon,282.0,118.0,337.0
Pennsylvania,858.0,384.0,1163.0
Rhode Island,40.0,15.0,52.0
South Carolina,204.0,96.0,261.0
South Dakota,42.0,24.0,45.0
Tennessee,358.0,177.0,499.0
Texas,2290.0,1198.0,3310.0
Utah,105.0,41.0,117.0
Vermont,30.0,19.0,47.0
Virginia,427.0,236.0,580.0
Washington,450.0,215.0,519.0
West Virginia,178.0,80.0,260.0
Wisconsin,46.0,19.0,56.0
Wyoming,12.0,2.0,12.0
