State,value
Alabama,832.0
Alaska,616.0
Arizona,1131.0
Arkansas,187.0
California,6978.0
Colorado,666.0
Connecticut,504.0
Delaware,904.0
Florida,4259.0
Georgia,1775.0
Hawaii,300.0
Idaho,112.0
Illinois,448.0
Indiana,2621.0
Iowa,441.0
Kansas,611.0
Kentucky,929.0
Louisiana,1133.0
Maine,13083.0
Massachusetts,956.0
Minnesota,626.0
Mississippi,497.0
Missouri,865.0
Montana,428.0
Nebraska,334.0
Nevada,619.0
New Hampshire,101.0
New Jersey,1635.0
New Mexico,257.0
New York,3912.0
North Dakota,52.0
Ohio,2771.0
Oklahoma,618.0
Oregon,737.0
Pennsylvania,2405.0
Rhode Island,107.0
South Carolina,561.0
South Dakota,111.0
Tennessee,1034.0
Texas,6798.0
Utah,263.0
Vermont,96.0
Virginia,1243.0
Washington,1184.0
West Virginia,518.0
Wisconsin,121.0
Wyoming,26.0
